CIK,Name,Form,Filing date,Filing year,Filing quarter,URL of form,public float 1,public float 2,extract,point of public float,position of something...,checkbox extract,LAF,AF,NAF,SRC,LAF2,AF2,NAF2,SRC2,Filing status,FYenddate,FY year,"Filer status, alternate","Accelerated filer status, pre-2005",Filing status 2
808064,C&D TECHNOLOGIES INC,10-K,2009-04-16,2009,2,http://www.sec.gov/Archives/edgar/data/808064/0001193125-09-080813.txt,200657950.0,200657950.0,"held by non-affiliates of the Registrant, based on the closing price on July 31, 2008: $200,657,950 Number of shares outstanding of each of the Registrants classes of common stock as of March 31, 2009: 26,295,695 shares of Common Stock, par value $.01 per share. D",3919,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer ¨ accelerated filer x non-accelerated filer ¨ smaller reporting company ¨",large accelerated filer ¨ ,accelerated filer x ,non-accelerated filer ¨ ,smaller reporting company ¨,¨,x,¨,¨,Accelerated filer,"january 31, 2009",2009,,,,accelerated filer
859313,"C&G DEC CAPITAL, INC",10-K,2009-05-18,2009,2,http://www.sec.gov/Archives/edgar/data/859313/0001014897-09-000066.txt,not given,285550.0,"held by non-affiliates computed by reference to the price at which the common equity was last sold, or the average bid and asked price of such common equity, as of the last business day of the registrant's most recently completed second fiscal quarter. The market value of the registrant's voting $.0001 par value common stock held by non-affiliates of the Registrant was approximately $285,550. Indi",3912,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see definitions of ""large accelerated filer,"" ""accelerated file"" and ""smaller reporting company"" in rule 12b-2 of the exchange act. (check one): large accelerated filer [ ] accelerated filer [ ] non-accelerated filer [ ] smaller reporting company [x]",large accelerated filer [ ] ,accelerated filer [ ] ,non-accelerated filer [ ] ,smaller reporting company [x],,,,x,Smaller reporting company," december 31, 2008",2008,,,,smaller reporting company
356028,"CA, INC.",10-K,2009-05-15,2009,2,http://www.sec.gov/Archives/edgar/data/356028/0000950123-09-008932.txt,7700000000.0,7700000000.0,"held by non-affiliates of the registrant as of September 30, 2008 (the last business day of the registrants most recently completed second fiscal quarter) was approximately $7.7 billion based on the closing price of $19.96 on the NASDAQ Stock Market LLC on that date. The number of shares of each of the registrants classes of common stock outstanding at May 8, 2009 was 518,836,593 shares of common ",4114,266,"whether the registrant is a large accelerated filer, an accelerated filer, or a non-accelerated filer. see definition of accelerated filer and large accelerated filer in rule 12b-2 of the exchange act. ü large accelerated filer accelerated filer non-accelerated filer",large accelerated filer ,accelerated filer ,non-accelerated file,,,,non-acceleratedfile,,Non-accelerated filer,"march 31, 2009",2009,,,,large accelerated filer
350199,CACHE INC,10-K/A,2009-04-27,2009,2,http://www.sec.gov/Archives/edgar/data/350199/0001104659-09-026200.txt,130000000.0,130000000.0,"held by non-affiliates of the registrant was approximately $130 million as of June 28, 2008, the last business day of the registrants most recently completed second fiscal quarter, based upon the closing sale price of $11.39 of the registrants Common Stock as reported on The Nasdaq Stock Market on such date. Shares of Common Stock held by each executive officer and director and by each person who ",4042,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer or a smaller reporting company. large accelerated filer o accelerated filer x non-accelerated filer o smaller reporting company o",large accelerated filer o ,accelerated filer x ,non-accelerated filer o ,smaller reporting company o,o,x,o,o,Accelerated filer,"december 27, 2008",2008,,,,accelerated filer
727273,CADIZ INC,10-K/A,2009-04-30,2009,2,http://www.sec.gov/Archives/edgar/data/727273/0000727273-09-000015.txt,182690120.0,182690120.0,"held by non-affiliates as of June 30, 2008 was approximately $182,690,120 based on 11,333,134 shares of common stock outstanding held by non-affiliates and the closing price on that date. Shares of common stock held by each executive officer and director and by each entity that owns more than 5% of the outstanding common stock have been excluded in that such persons may be deemed to be affiliates.",4339,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer or a smaller reporting company (as defined in exchange act rule 12b-2). large accelerated filer accelerated filer √ non-accelerated filer smaller reporting company",large accelerated filer ,accelerated filer √ ,non-accelerated filer ,smaller reporting company,,√,,,Accelerated filer,"december 31, 2008",2008,,,,accelerated filer
16104,CAGLES INC,10-K,2009-06-17,2009,2,http://www.sec.gov/Archives/edgar/data/16104/0001104659-09-038422.txt,7616240.0,7616240.0,"held by non-affiliates computed by reference to the price at which the common equity was last sold, or the average bid and asked prices of such common equity, as of the last business day of the registrants most recently completed second fiscal quarter. $7,616,240 (based on $4.55 per share closing price on September 27, 2008). Indicate the number of shares outstanding of each of the registrants cla",4019,265,"whether the registrant is a large accelerated filer, an accelerated filer, or a non-accelerated filer. see definition of accelerated filer and large accelerated filer in rule 12b-2 of the exchange act. large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company x .",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company x .,o,o,o,x.,Smaller reporting company,"march 28, 2009",2009,,,,large accelerated filer
1448558,"CALIBRUS, INC.",10-K,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1448558/0001361773-09-000030.txt,not given,none,"held by non-affiliates computed by reference to the price at which the common equity was last sold, or the average bid and asked prices of such common equity, as of the last business day of the registrants most recently completed second fiscal quarter: The Registrant ' s shares are currently not trading. As of March 31, 2009, the Registrant had 6,794,600 shares of common stock issued and outstandi",3864,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see definitions of large accelerated filer, accelerated filer, and smaller reporting company in rule 12b-2 of the exchange act. large accelerated filer ¨ accelerated filer ¨ non-accelerated filer ¨ smaller reporting company x",large accelerated filer ¨ ,accelerated filer ¨ ,non-accelerated filer ¨ ,smaller reporting company x,¨,¨,¨,x,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
1363573,CALIFORNIA GOLD CORP.,10-K,2009-05-15,2009,2,http://www.sec.gov/Archives/edgar/data/1363573/0001144204-09-027747.txt,981268.0,981268.0,"held by non-affiliates computed by reference to the closing price of the issuers Common Stock on that date, was $981,268 based upon the closing price ($0.05) multiplied by the 19,625,377 shares of the issuers Common Stock held by non-affiliates. D",4055,266,"whether the registrant is a large accelerated filer, an accelerated filer, or a smaller reporting company. see the definitions of the “large accelerated filer,” “accelerated filer,” and “smaller reporting company” in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company x",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company x,o,o,o,x,Smaller reporting company," january 31, 2009",2009,,,,smaller reporting company
800460,CALIFORNIA MICRO DEVICES CORP,10-K,2009-06-15,2009,2,http://www.sec.gov/Archives/edgar/data/800460/0000800460-09-000008.txt,69400000.0,69400000.0,"held by non-affiliates as of September 30, 2008 (the last business day of the registrants most recently completed second fiscal quarter) was $69.4 million based on the closing price for the common stock on the NASDAQ National Market on such date. As of September 30, 2008, the number of shares of the registrants common stock outstanding held by non-affiliates was 23.2 million. For purposes of this ",4325,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer or smaller reporting company. see the definitions of “accelerated filer"", ""large accelerated filer"" and ""smaller reporting company” in rule 12b-2 of the exchange act. (check one): large accelerated filer ¨ accelerated filer x non-accelerated filer ¨ smaller reporting company ¨",large accelerated filer ¨ ,accelerated filer x ,non-accelerated filer ¨ ,smaller reporting company ¨,¨,x,¨,¨,Accelerated filer,"march 31, 2009 form10k",2009,,,,accelerated filer
1142380,CALLISTO PHARMACEUTICALS INC,10-K,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1142380/0001047469-09-004190.txt,11804540.0,11804540.0,"held by non-affiliates of the registrant was $11,804,540 on June 30, 2008 (based on $0.25 per share, the closing price on the American Stock Exchange that day). As of April 14, 2009 the registrant had a total of 50,747,661 shares of Common Stock outstanding. CALLISTO PHARMACEUTICALS, INC. (A Development Stage Company) FORM 10-K TABLE OF CONTENTS PART I Item 1. Business 3 Item 1A. Risk Factors 18 I",4044,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see definitions of ""large accelerated filer,"" ""accelerated filer,"" and ""smaller reporting company"" in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company ý",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company ý,o,o,o,ý,Smaller reporting company," december 31, 2008 o ",2008,,,,smaller reporting company
1115091,CALLWAVE INC,10-K/A,2009-05-08,2009,2,http://www.sec.gov/Archives/edgar/data/1115091/0001193125-09-105030.txt,7208764.0,7208764.0,"held by non-affiliates computed by reference to the price at which the common stock was last sold as of December 31, 2007 was $7,208,764. In determining who are affiliates of the Company for purposes of this computation, it is assumed that directors, officers, and any persons who held on December 31, 2007, more than 5% of the issued and outstanding common stock of the Company are affiliates of the",4078,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see definition of accelerated filer and large accelerated filer in rule 12b-2 of the exchange act (check one): large accelerated filer ¨ accelerated filer ¨ non-accelerated filer ¨ smaller reporting company x",large accelerated filer ¨ ,accelerated filer ¨ ,non-accelerated filer ¨ ,smaller reporting company x,¨,¨,¨,x,Smaller reporting company,"june 30, 2008",2008,,,,smaller reporting company
899426,CALYPTE BIOMEDICAL CORP,10-K,2009-04-27,2009,2,http://www.sec.gov/Archives/edgar/data/899426/0001437749-09-000427.txt,not given,blank largest val,none,-1,266,"whether the registrant is a large accelerated filer, a non-accelerated filer, or a smaller reporting company (as defined in rule 12b-2 of the exchange act). large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company x",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company x,o,o,o,x,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
913443,CAMBRIDGE HEART INC,10-K/A,2009-04-30,2009,2,http://www.sec.gov/Archives/edgar/data/913443/0001193125-09-094024.txt,27887683.0,27887683.0,"held by non-affiliates of the registrant was $27,887,683 computed by reference to the last reported sale price of the common stock on the OTC Bulletin Board on June 30, 2008. As of March 31, 2009, 64,992,521 shares of the registrants common stock were outstanding. Table of Contents CAMBRIDGE HEART, INC. INDEX TO ANNUAL REPORT ON FORM 10-K/A AMENDMENT NO. 1 Securities and Exchange Commission Item N",4017,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. large accelerated filer ¨ accelerated filer ¨ non-accelerated filer ¨ smaller reporting company x",large accelerated filer ¨ ,accelerated filer ¨ ,non-accelerated filer ¨ ,smaller reporting company x,¨,¨,¨,x,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
13033,CAMELOT CORP,10-K/A,2009-05-07,2009,2,http://www.sec.gov/Archives/edgar/data/13033/0001269678-09-000101.txt,124722.0,124722.0,"held by non-affiliates was $124,722. The number of shares outstanding of the Registrant's common stock $0.01 par value was 49,236,106 at April 30,2008. D",3907,0,,,,,,,,,,,"april 30, 2008 ",2008,,,,
1083848,CAN CAL RESOURCES LTD,10-K,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1083848/0001144204-09-020622.txt,9119599.9,9119599.9,"held by non-affiliates computed by reference to the price at which the common equity was last sold, or the average bid and asked price of such common equity, as of the last business day of the registrants most recently completed second fiscal quarter. $9,119,599.90 based on a share value of $0.43. Indicate the number of shares outstanding of each of the registrants classes of common stock, as of t",3763,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of “ large accelerated filer, ” “ accelerated filer ” and “ smaller reporting company ” in rule 12b-2 of the exchange act. large accelerated filer ¨ accelerated filer ¨ non-accelerated filer ¨ smaller reporting company x",large accelerated filer ¨ ,accelerated filer ¨ ,non-accelerated filer ¨ ,smaller reporting company x,¨,¨,¨,x,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
1223533,CANCER DETECTION CORP.,10-K/A,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1223533/0001072588-09-000150.txt,198877.0,198877.0,"held by non-affiliates of the registrant as of September 9, 2008 was $198,877 based on the bid price at September 9, 2008 of $.005 as reported by OTCBB. Number of authorized outstanding shares of the registrant's $.001 par value common stock, as of September 9, 2008: 96,561,790. 2 TABLE OF CONTENTS PART I Item 1. Description of Business Item 2. Description of Property Item 3. Legal Proceedings Ite",3329,0,,,,,,,,,,,"may 31, 2008",2008,,,,
1020186,CAPITAL BEVERAGE CORP,10-K,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1020186/0001437749-09-000382.txt,132000.0,132000.0,"held by non-affiliates of the Registrant, computed by reference to the closing price of such stock as of April 8, 2009, was approximately $132,000. Number of shares outstanding of the issuer's Common Stock as of April 8, 2009 was 3,792,045. D",-1,266,"whether the registrant is a large accelerated filer, an accelerated filer, or a non-accelerated filer. see definition of “accelerated filer and large accelerated filer” in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company x",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company x,o,o,o,x,Smaller reporting company,"december 31, 2008 ",2008,,,,smaller reporting company
1072806,CAPITAL CROSSING PREFERRED CORP,10-K,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1072806/0000950135-09-002852.txt,not given,none,held by non-affiliates of the registrant.,3925,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer þ smaller reporting company o",large accelerated filer o ,accelerated filer o ,non-accelerated filer þ ,smaller reporting company o,o,o,þ,o,Non-accelerated filer,"december 31, 2008",2008,,,,non-accelerated filer
722833,CAPITAL REALTY INVESTORS III LTD PARTNERSHIP,10-K,2009-04-01,2009,2,http://www.sec.gov/Archives/edgar/data/722833/0000354521-09-000018.txt,not given,blank largest val,none,-1,266,"whether the registrant is a large accelerated filer, an accelerated filer, or a non-accelerated filer. see definition of ""accelerated filer and large accelerated filer"" in rule 12b-2 of the exchange act. large accelerated filer |_| accelerated filer |_| non-accelerated filer |_| smaller reporting company |x|",large accelerated filer |_| ,accelerated filer |_| ,non-accelerated filer |_| ,smaller reporting company |x|,||,||,||,|x|,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
740371,CAPITAL REALTY INVESTORS IV LIMITED PARTNERSHIP,10-K,2009-04-14,2009,2,http://www.sec.gov/Archives/edgar/data/740371/0000354521-09-000023.txt,not given,blank largest val,none,-1,266,"whether the registrant is a large accelerated filer, an accelerated filer, or a non-accelerated filer. see definition of ""accelerated filer and large accelerated filer"" in rule 12b-2 of the exchange act. large accelerated filer |_| accelerated filer |_| non-accelerated filer |_| smaller reporting company |x|",large accelerated filer |_| ,accelerated filer |_| ,non-accelerated filer |_| ,smaller reporting company |x|,||,||,||,|x|,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
354521,CAPITAL REALTY INVESTORS LTD,10-K,2009-05-01,2009,2,http://www.sec.gov/Archives/edgar/data/354521/0000354521-09-000028.txt,not given,blank largest val,none,-1,266,"whether the registrant is a large accelerated filer, an accelerated filer, or a non-accelerated filer. see definition of ""accelerated filer and large accelerated filer"" in rule 12b-2 of the exchange act. large accelerated filer |_| accelerated filer |_| non-accelerated filer |_| smaller reporting company |x|",large accelerated filer |_| ,accelerated filer |_| ,non-accelerated filer |_| ,smaller reporting company |x|,||,||,||,|x|,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
17313,CAPITAL SOUTHWEST CORP,10-K,2009-05-29,2009,2,http://www.sec.gov/Archives/edgar/data/17313/0001010549-09-000411.txt,314927409.0,314927409.0,"held by non-affiliates of the registrant as of September 30, 2008 was $314,927,409, based on the last sale price of such stock as quoted by Nasdaq on such date. The number of shares of common stock outstanding as of May 1, 2009 was 3,741,638. D",3981,266,"whether the registrant is a large accelerated filer, an accelerated filer, or a non-accelerated filer. see definition of ""accelerated filer and large accelerated filer"" in rule 12b-2 of the exchange act. (check one): large accelerated filer ____ accelerated filer x non-accelerated filer ____",large accelerated filer ____ ,accelerated filer x ,non-accelerated filer ___,,,x,,,Accelerated filer,"march 31, 2009",2009,,,,accelerated filer
1070295,CAPITOL CITY BANCSHARES INC,10-K,2009-04-14,2009,2,http://www.sec.gov/Archives/edgar/data/1070295/0001193125-09-078767.txt,15597490.0,15597490.0,"held by non-affiliates computed by reference to the price at which the stock was last sold, or the average bid and asked prices of such stock, as of June 30, 2008: $15,597,490 (based on the stock price of $10.00 as of that date). Indicate the number of shares outstanding of each of the issuers classes of common stock, as of the latest practicable date: 2,307,853 shares of $1.50 par value common st",3597,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer or a smaller reporting company. see definitions of large accelerated filer, accelerated filer, and smaller reporting company, in rule 12b-2 of the exchange act. (check one): large accelerated filer ¨ accelerated filer ¨ non-accelerated filer ¨ smaller reporting company x",large accelerated filer ¨ ,accelerated filer ¨ ,non-accelerated filer ¨ ,smaller reporting company x,¨,¨,¨,x,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
1070295,CAPITOL CITY BANCSHARES INC,10-K/A,2009-04-22,2009,2,http://www.sec.gov/Archives/edgar/data/1070295/0001193125-09-084297.txt,15957490.0,15957490.0,"held by non-affiliates computed by reference to the price at which the stock was last sold, or the average bid and asked prices of such stock, as of June 30, 2008: $15,957,490.00 (based on the stock price of $10.00 as of that date). Indicate the number of shares outstanding of each of the issuers classes of common stock, as of the latest practicable date: 2,307,853 shares of $1.50 par value common",3775,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer or a smaller reporting company. see definitions of large accelerated filer, accelerated filer, and smaller reporting company, in rule 12b 2 of the exchange act. (check one): large accelerated filer ¨ accelerated filer ¨ smaller reporting company x non-accelerated filer ¨",,,,,,,,,error in sorting of filing status,"december 31, 2008 ",2008,,,,smaller reporting company
1009759,CAPSTONE TURBINE CORP,10-K,2009-06-15,2009,2,http://www.sec.gov/Archives/edgar/data/1009759/0001047469-09-006335.txt,174300000.0,174300000.0,"held by non-affiliates on September 30, 2008 was approximately $174.3 million. As of June 5, 2009, 188,532,363 shares of the registrant's Common Stock were issued and outstanding. D",4248,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of ""large accelerated filer,"" ""accelerated filer"" and ""smaller reporting company"" in rule 12b-2 of the exchange act. large accelerated filer o accelerated filer ý non-accelerated filer o smaller reporting company o",large accelerated filer o ,accelerated filer ý ,non-accelerated filer o ,smaller reporting company o,o,ý,o,o,Accelerated filer,"march 31, 2009",2009,,,,accelerated filer
1233275,"CAPTERRA FINANCIAL GROUP, INC.",10-K,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1233275/0001362310-09-005368.txt,95960.0,95960.0,"held by non-affiliates as of April 9, 2008 was approximately $95,960. The number of shares outstanding of the Registrants common stock, as of the latest practicable date, April 9, 2009, was 23,602,614. FORM 10-K CapTerra Financial Group, Inc. INDEX PART I Item 1. Business 3 Item 1A. Risk Factors 6 Item 2. Property 11 Item 3. Legal Proceedings 11 Item 4. Submission of Matters to a Vote of Security ",3811,266,"whether the registrant is a large accelerated filer, a non-accelerated filer, or a smaller reporting company. see definitions of large accelerated filer, accelerated filer, and smaller reporting company in rule 12b-2 of the exchange act. large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company þ",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company þ,o,o,o,þ,Smaller reporting company," december 31, 2008",2008,,,,smaller reporting company
1233275,"CAPTERRA FINANCIAL GROUP, INC.",10-K/A,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1233275/0001362310-09-005359.txt,not given,none,"held by non-affiliates computed by reference to the price at which the common equity was last sold, or the average bid and asked price of such common equity, as of the last business day of the registrants most recently completed second fiscal quarter. FORM 10-KSB Across America Real Estate Corp. INDEX Page PART I Item 1. Description of Business 3 Item 2. Description of Property 13 Item 3. Legal Pr",4065,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see definitions of large accelerated filer, accelerated filer, and smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company þ",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company þ,o,o,o,þ,Smaller reporting company," december 31, 2007",2007,,,,smaller reporting company
887708,CARACO PHARMACEUTICAL LABORATORIES LTD,10-K,2009-06-15,2009,2,http://www.sec.gov/Archives/edgar/data/887708/0001169232-09-003031.txt,115254643.0,115254643.0,"held by non-affiliates, based on the last sale price of the common stock as of September 30, 2008, the last day of the Registrants most recently completed second quarter, as reported on the NYSE Amex Stock Exchange, was $115,254,643. Indicate the number of shares outstanding of each of the registrants classes of Common Stock, as of the latest practicable date. As of June 10, 2009, there were 37,45",4026,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer or a smaller reporting company. see definition of an “accelerated filer” and “large accelerated filer” in rule 12b-2 of the exchange act large accelerated filer o accelerated filer x non-accelerated filer o smaller reporting company o",large accelerated filer o ,accelerated filer x ,non-accelerated filer o ,smaller reporting company o,o,x,o,o,Accelerated filer,"march 31, 2009 o ",2009,,,,accelerated filer
1307425,CARBIZ INC,10-K,2009-04-24,2009,2,http://www.sec.gov/Archives/edgar/data/1307425/0001062993-09-001465.txt,5308368.0,5308368.0,"held by non-affiliates computed by reference to the price at which the common equity was sold, or the average bid and asked price of such common equity, as of July 31, 2008, was US $5,308,368. The number of shares outstanding of the registrants common stock as of April 22, 2009, was 103,579,981 shares. CARBIZ INC. FORM 10-K For the Year Ended January 31, 2009 INDEX NOTE REGARDING FORWARD-LOOKING S",4224,266,"whether the registrant is a large accelerated filer; an accelerated filer; a non-accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer, and smaller reporting company in rule 12b-2 of the exchange act. large accelerated filer [ ] accelerated filer [ ] non-accelerated filer [ ] smaller reporting company [x]",large accelerated filer [ ] ,accelerated filer [ ] ,non-accelerated filer [ ] ,smaller reporting company [x],,,,x,Smaller reporting company,"january 31, 2009",2009,,,,smaller reporting company
1102414,CARBONICS CAPITAL CORP,10-K,2009-04-16,2009,2,http://www.sec.gov/Archives/edgar/data/1102414/0001269127-09-000024.txt,not given,none,"held by non-affiliates of the Registrant as of April 14, 2009 was 133,179,481. CARBONICS CAPITAL CORPORATION ANNUAL REPORT ON FORM 10K FOR THE FISCALYEAR ENDED DECEMBER 31, 2008 TABLE OF CONTENTS Page Part I Item 1 Business ........................................................................................4 Item 1A Risk Factors..................................................................",4155,265,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of ""large accelerated filer,"" ""accelerated filer"" and ""smaller reporting company"" in rule 12b-2 of the exchange act. (check one) large accelerated filer accelerated filer--------non-accelerated filer smaller reporting company x--------",large accelerated filer ,accelerated filer--------,non-accelerated filer ,smaller reporting company x--------,,--------,,x--------,,"december 31, 2008",2008,,,,smaller reporting company
1085113,CARDTREND INTERNATIONAL INC.,10-K,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1085113/0001002014-09-000301.txt,not given,620519.0,"held by non-affiliates. The aggregate market value as of that date, based on the $0.005 closing stock price as of March 31, 2009, was $620,519. As of March 31, 2009, the registrant had 155,818,136 shares of Common Stock outstanding D",4202,265,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of “large accelerated filer,” “accelerated filer” and “smaller reporting company” in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company x",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company x,o,o,o,x,Smaller reporting company,"december 31, 2008 o ",2008,,,,smaller reporting company
1085113,CARDTREND INTERNATIONAL INC.,10-K/A,2009-06-09,2009,2,http://www.sec.gov/Archives/edgar/data/1085113/0001002014-09-000467.txt,6160000.0,6160000.0,"held by non-affiliates computed by reference to the price at which the common equity was sold, or the average bid and asked price of such common equity, as of April 10, 2008: $6.16 Million. EXPLANATORY NOTE Cardtrend International Inc. (the Registrant) is filing this amended Form 10-K/A-2 to include the revised audit report and related financial statements, both of which were previously filed with",4009,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of “large accelerated filer,” “accelerated filer” and “smaller reporting company” in rule 12b-2 if the exchange act. large accelerated filer [ ] accelerated filer [ ] non-accelerated filer [ ] smaller reporting company [x]",large accelerated filer [ ] ,accelerated filer [ ] ,non-accelerated filer [ ] ,smaller reporting company [x],,,,x,Smaller reporting company,"december 31, 2007",2007,,,,smaller reporting company
1170010,CARMAX INC,10-K,2009-04-24,2009,2,http://www.sec.gov/Archives/edgar/data/1170010/0001170010-09-000018.txt,3300000000.0,3300000000.0,"held by non-affiliates as of August 31, 2008, computed by reference to the closing price of the registrants common stock on the New York Stock Exchange on that date, was $3.3 billion. On March 31, 2009, there were 220,391,906 outstanding shares of CarMax, Inc. common stock. D",4244,266,"whether the registrant is a large accelerated filer, an accelerated filer or a non-accelerated filer or a smaller reporting company. see definitions of “large accelerated filer,” “accelerated filer” and “smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer x accelerated filer ¨ non-accelerated filer ¨ smaller reporting company ¨",large accelerated filer x ,accelerated filer ¨ ,non-accelerated filer ¨ ,smaller reporting company ¨,x,¨,¨,¨,Large accelerated filer,"february 2 8 , 200 9",,,,,large accelerated filer
764579,CAS MEDICAL SYSTEMS INC,10-K,2009-04-03,2009,2,http://www.sec.gov/Archives/edgar/data/764579/0001072613-09-000674.txt,26674000.0,26674000.0,"held by non-affiliates of the registrant was $26,674,000 based on the closing price as reported on the NASDAQ Global Market. This calculation does not reflect a determination that persons are affiliates for any other purpose. As of March 31, 2009, there were 11,356,662 shares of common stock outstanding. D",3900,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see definitions of “large accelerated filer”, “accelerated filer” and “smaller reporting company” in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company x",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company x,o,o,o,x,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
18061,CASCADE CORP,10-K,2009-04-06,2009,2,http://www.sec.gov/Archives/edgar/data/18061/0001193125-09-073637.txt,476209016.0,476209016.0,"held by non-affiliates of the registrant as of July 31, 2008 was $476,209,016, based on the closing sale price of the common stock on the New York Stock Exchange on that date. The number of shares outstanding of the registrants common stock as of March 11, 2009 was 10,852,530. D",3776,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see definitions of large accelerated filer, accelerated filer, and smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer ¨ accelerated filer x non-accelerated filer ¨ smaller reporting company ¨",large accelerated filer ¨ ,accelerated filer x ,non-accelerated filer ¨ ,smaller reporting company ¨,¨,x,¨,¨,Accelerated filer,"january 31, 2009",2009,,,,accelerated filer
